X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon
-73.11989,7.120168,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 23 CALLE 36,,,,,-1,0,-1,,
-73.129186,7.125917,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 15 CALLE 22,,,,,-1,0,-1,,
-73.121924,7.113444,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 17 AV. ROSITA,,,,,-1,0,-1,,
-73.124508,7.117708,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 17 CALLES 37,,,,,-1,0,-1,,
-73.122106,7.123689,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 22 CALLE 31,,,,,-1,0,-1,,
-73.124528,7.120248,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 18 CALLE 34,,,,,-1,0,-1,,
-73.12331,7.119763,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 19 CALLE 35,,,,,-1,0,-1,,
-73.125166,7.119065,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 17 CALLE 35,,,,,-1,0,-1,,
-73.123921,7.123655,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 20  AV. Q. SECA,,,,,-1,0,-1,,
-73.123985,7.121479,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 19 CALLE 33,,,,,-1,0,-1,,
-73.122767,7.118303,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 19 CALLE 37,,,,,-1,0,-1,,
